,num,label
131,131,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
132,132,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
133,133,CHILD PORNOGRAPHY
134,134,ABORTION/ILLEGAL
135,135,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
136,136,DISHONEST EMPLOYEE ATTEMPTED THEFT
137,137,TRAIN WRECKING
138,138,BLOCKING DOOR INDUCTION CENTER
139,139,FIREARMS RESTRAINING ORDER (FIREARMS RO)
140,140,"VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS"
141,141,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
142,142,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
143,143,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
